Frame_number, Cell_number, Cell_colour, Position_X, Position_Y, Unique_cell_number
1,1,1,274,65,1
1,2,1,92.608,42.734,2
1,3,1,258,328,3
1,4,1,256.38,316.43,4
1,5,-1,270.29,335.94,5
1,6,-1,414.69,136.04,6
1,7,-1,490.42,270.75,7
1,8,-1,160.32,384.11,8
1,9,-1,480.31,271.92,9
1,10,-1,467.36,272.29,10
1,11,-1,257.27,303.55,11
1,12,-1,89.966,401.16,12
1,13,-1,105.45,404.32,13
1,14,-1,163.61,370.85,14
1,15,-1,237.75,175.95,15
1,16,-1,471.58,259.01,16
1,17,-1,484.86,256.08,17
1,18,-1,273.97,321.33,18
1,19,-1,281.1,225.59,19
1,20,-1,383.3,137.36,20
1,21,-1,82.795,35.898,21
1,22,-1,74.462,47.655,22
1,23,-1,367.74,135.43,23
1,24,-1,98.252,390.51,24
1,25,-1,408.89,108.35,25
1,26,-1,405.36,123.16,26
1,27,-1,87.289,54.711,27
1,28,-1,268.49,306.37,28
1,29,-1,419.22,125.85,29
2,1,1,274,65,1
2,2,-1,123.8,61.079,2
2,3,-1,288.15,345.91,3
2,4,-1,286.56,334.45,4
2,5,-1,300.09,355.41,5
2,6,-1,443.79,153.08,6
2,7,-1,520.98,289.52,7
2,8,-1,190.74,402.48,8
2,9,-1,509.69,290.34,9
2,10,-1,497.13,290.53,10
2,11,-1,285.17,322.44,11
2,12,-1,119.86,420.44,12
2,13,-1,135.63,423.49,13
2,14,-1,193.34,390.09,14
2,15,-1,268.43,195.05,15
2,16,-1,500.69,277.19,16
2,17,-1,515.73,274.64,17
2,18,-1,304.18,340.8,18
2,19,-1,310.33,244.42,19
2,20,-1,412.92,156.68,20
2,21,-1,112.79,55.295,21
2,22,-1,103.75,66.507,22
2,23,-1,397.15,154.13,23
2,24,-1,128.55,409.66,24
2,25,-1,437.08,127.14,25
2,26,-1,435.77,141.27,26
2,27,-1,118.17,72.806,27
2,28,-1,299.49,324.71,28
2,29,-1,452.8,144.28,29
2,30,-1,15.828,46.516,30
2,31,-1,450.8,131.06,31
2,32,-1,9.7951,34.656,32
3,1,1,274,65,1
3,2,-1,131.35,59.433,2
3,3,-1,294.32,345.68,3
3,4,-1,293.71,333.31,4
3,5,-1,307.13,355.29,5
3,6,-1,450.54,152.83,6
3,7,1,526.63,289.39,7
3,8,-1,196.84,401.25,8
3,9,-1,516.19,290.3,9
3,10,-1,503.12,289.73,10
3,11,-1,291.78,320.42,11
3,12,-1,125.8,418.97,12
3,13,-1,142.26,422.43,13
3,14,-1,200.33,388.75,14
3,15,-1,274.03,193.52,15
3,16,-1,506.65,276.57,16
3,17,-1,522.58,274.35,17
3,18,1,311.15,336.69,18
3,19,-1,317.05,243.54,19
3,20,-1,419.4,155.41,20
3,21,-1,119.94,54.019,21
3,22,-1,109.97,65.51,22
3,23,-1,403.57,153.09,23
3,24,-1,134.64,408.5,24
3,25,-1,443.38,125.68,25
3,26,-1,441.48,140.15,26
3,27,-1,124.12,71.983,27
3,28,-1,306.19,322.9,28
3,29,-1,460.96,143.96,29
3,30,-1,22.977,44.773,30
3,31,-1,458.01,130.09,31
3,32,-1,16.385,33.487,32
3,33,-1,9.7396,49.083,33
3,34,-1,5.6702,40.383,34
4,1,1,274,65,1
4,2,-1,130.54,50.962,2
4,3,-1,292.93,336.45,3
4,4,-1,292.55,323.55,4
4,5,-1,306.08,345.18,5
4,6,-1,450.4,143.53,6
4,7,1,526.22,279.96,7
4,8,-1,194.83,390.65,8
4,9,1,514.77,279.53,9
4,10,-1,501.99,280.23,10
4,11,-1,291.24,310.74,11
4,12,-1,125.72,410.54,12
4,13,-1,141.57,413.91,13
4,14,-1,199.21,379.58,14
4,15,-1,274.14,184.79,15
4,16,-1,507.22,266.33,16
4,17,-1,522.05,264.99,17
4,18,-1,310.78,329.51,18
4,19,-1,317.1,234.3,19
4,20,-1,419.4,145.38,20
4,21,-1,119.12,44.741,21
4,22,-1,110.86,55.453,22
4,23,-1,403.92,143.8,23
4,24,-1,135.53,398.93,24
4,25,-1,443.46,116.06,25
4,26,-1,440.26,131.04,26
4,27,-1,124.35,62.087,27
4,28,-1,307.03,313.57,28
4,29,-1,461.71,135.09,29
4,30,-1,22.941,35.257,30
4,31,-1,456.88,120.33,31
4,32,1,16.201,23.453,32
4,33,-1,9.3295,39.455,33
4,34,-1,5.56,30.79,34
5,1,1,274,65,1
5,2,-1,130.49,50.891,2
5,3,-1,292.72,340.71,3
