Frame_number, Cell_number, Cell_colour, Position_X, Position_Y, Unique_cell_number
1,1,1,72,140,1
1,2,1,354.42,310.77,2
1,3,1,353.79,297.04,3
1,4,1,272.08,185.06,4
1,5,-1,341.19,315.36,5
1,6,-1,341.76,305.33,6
1,7,-1,340.38,293.93,7
1,8,-1,264.32,206.57,8
1,9,-1,180.88,76.35,9
1,10,-1,66.616,270.03,10
1,11,-1,184.98,141.55,11
1,12,-1,212.74,231.2,12
1,13,-1,75.274,261.12,13
1,14,-1,258.19,194.66,14
1,15,-1,274.41,200.5,15
1,16,-1,204.09,227.51,16
1,17,-1,365.06,308.26,17
1,18,-1,258.95,178.33,18
2,1,1,72,140,1
2,2,-1,338.54,304.41,2
2,3,-1,338.83,289.02,3
2,4,-1,259.05,181.53,4
2,5,-1,326.64,308.02,5
2,6,-1,327.47,297.84,6
2,7,-1,325.95,286.35,7
2,8,-1,249.96,199.24,8
2,9,-1,166.43,68.377,9
2,10,-1,52.44,261.63,10
2,11,-1,171.28,134.35,11
2,12,-1,201.36,221.97,12
2,13,-1,56.847,252.99,13
2,14,-1,245.43,187.29,14
2,15,-1,262,193.29,15
2,16,-1,190.66,219.65,16
2,17,-1,345.7,297.86,17
2,18,1,248.02,175.05,18
3,1,1,72,141,1
3,2,1,345.58,301.5,2
3,3,1,345.2,286.73,3
3,4,-1,266.47,172.72,4
3,5,-1,331.88,305.53,5
3,6,-1,332.69,294.95,6
3,7,-1,331.69,283.52,7
3,8,-1,255.06,197.74,8
3,9,-1,172.35,66.241,9
3,10,-1,58.413,258.91,10
3,11,-1,176.48,132.04,11
3,12,1,208.12,222.77,12
3,13,-1,67.412,250.64,13
3,14,-1,249.27,184.06,14
3,15,-1,265.82,189.98,15
3,16,-1,196.14,216.77,16
3,17,1,354.81,295.59,17
3,18,-1,250.95,169.28,18
4,1,1,73,141,1
4,2,-1,347.68,303.28,2
4,3,1,344.95,288.45,3
4,4,1,267.24,179.71,4
4,5,-1,333.33,307.45,5
4,6,1,335.06,297.36,6
4,7,-1,333.44,285.85,7
4,8,-1,255.88,199.61,8
4,9,-1,173.34,67.866,9
4,10,-1,59,261.83,10
4,11,-1,178.59,133.63,11
4,12,-1,208.89,223.09,12
4,13,-1,68.08,253.15,13
4,14,-1,250.51,186.11,14
4,15,-1,268.2,192.34,15
4,16,-1,197.13,219.7,16
4,17,-1,357.68,297.19,17
4,18,-1,252.39,171.72,18
5,1,1,73,141,1
5,2,-1,344.98,306.49,2
5,3,-1,343.48,290.1,3
5,4,1,263.3,180.91,4
5,5,-1,330.12,309.3,5
5,6,-1,331.49,299.58,6
5,7,-1,331.06,287.48,7
5,8,-1,252.62,203.19,8
5,9,-1,171.09,70.514,9
5,10,-1,57.087,264.24,10
5,11,-1,175.39,136.14,11
5,12,-1,205.67,224.79,12
5,13,1,66.09,254.77,13
5,14,1,247.18,188.86,14
5,15,1,265.46,194.74,15
5,16,-1,194.39,221.05,16
5,17,1,352.81,298.18,17
5,18,1,250.06,175.01,18
6,1,1,73,141,1
6,2,1,344.37,304.63,2
6,3,1,343.86,289.08,3
6,4,-1,262.69,181.85,4
6,5,-1,328.79,308.2,5
6,6,1,332.91,298.76,6
6,7,-1,329.76,286.57,7
6,8,-1,252.16,201.27,8
6,9,-1,169.57,68.924,9
6,10,-1,55.862,263.09,10
6,11,-1,174.54,134.48,11
6,12,-1,205.43,223.82,12
6,13,1,64.77,253.58,13
