cib1 100,cib1 100
2.32E-03,0
2.32E-03,0
2.31E-03,0
2.30E-03,0
2.29E-03,0
2.28E-03,0
2.27E-03,0
2.27E-03,0
2.26E-03,0
2.25E-03,0
2.24E-03,0
0.002231937,0
0.002223624,0
0.002215336,0
0.002207071,0
0.002198829,0
0.002190611,0
0.002182416,0
0.002174245,0
0.002166097,0
0.002157972,0
0.002149871,0
0.002141793,0
0.002133738,0
0.002125707,0
0.002117699,0
0.002109715,0
0.002101753,0
0.002093815,0
0.0020859,0
0.002078008,0
0.002070139,0
0.002062294,0
0.002054471,0
0.002046672,0
0.002038896,0
0.002031143,0
0.002023412,0
0.002015705,0
0.002008021,0
0.00200036,0
0.001992722,0
0.001985107,0
0.001977515,0
0.001969945,0
0.001962399,0
0.001954875,0
0.001947374,0
1.94E-03,0
1.93E-03,0
1.93E-03,0
1.92E-03,0
1.91E-03,0
1.90E-03,0
1.90E-03,0
1.89E-03,0
1.88E-03,0
1.87E-03,0
1.87E-03,0
1.86E-03,0
1.85E-03,0
1.84E-03,0
1.84E-03,0
1.83E-03,0
1.82E-03,0
1.82E-03,0
1.81E-03,0
1.80E-03,0
1.80E-03,0
1.79E-03,0
1.78E-03,0
1.77E-03,0
1.77E-03,0
1.76E-03,0
1.75E-03,0
1.75E-03,0
1.74E-03,0
1.73E-03,0
1.73E-03,0
1.72E-03,0
1.71E-03,0
1.71E-03,0
1.70E-03,0
1.69E-03,0
1.69E-03,0
1.68E-03,0
1.67E-03,0
1.67E-03,0
1.66E-03,0
1.65E-03,0
1.65E-03,0
1.64E-03,0
1.63E-03,0
1.63E-03,0
1.62E-03,0
1.61E-03,0
1.61E-03,0
1.60E-03,0
1.59E-03,0
1.59E-03,0
1.58E-03,0
1.58E-03,0
1.57E-03,0
1.56E-03,0
1.56E-03,0
1.55E-03,0
1.54E-03,0
1.54E-03,0
1.53E-03,0
1.53E-03,0
1.52E-03,0
1.51E-03,0
1.51E-03,0
1.50E-03,0
1.50E-03,0
1.49E-03,0
1.48E-03,0
1.48E-03,0
1.47E-03,0
1.47E-03,0
1.46E-03,0
1.45E-03,0
1.45E-03,0
1.44E-03,0
1.44E-03,0
1.43E-03,0
1.43E-03,0
1.42E-03,0
1.41E-03,0
1.41E-03,0
1.40E-03,0
1.40E-03,0
1.39E-03,0
1.39E-03,0
1.38E-03,0
1.37E-03,0
1.37E-03,0
1.36E-03,0
1.36E-03,0
1.35E-03,0
1.35E-03,0
1.34E-03,0
1.34E-03,0
1.33E-03,0
1.33E-03,0
1.32E-03,0
1.31E-03,0
1.31E-03,0
1.30E-03,0
1.30E-03,0
1.29E-03,0
1.29E-03,0
1.28E-03,0
1.28E-03,0
1.27E-03,0
1.27E-03,0
1.26E-03,0
1.26E-03,0
1.25E-03,0
1.25E-03,0
1.24E-03,0
1.24E-03,0
1.23E-03,0
1.23E-03,0
1.22E-03,0
1.22E-03,0
1.21E-03,0
1.21E-03,0
1.20E-03,0
1.20E-03,0
1.19E-03,0
1.19E-03,0
1.18E-03,0
1.18E-03,0
1.17E-03,0
1.17E-03,0
1.16E-03,0
1.16E-03,0
1.16E-03,0
1.15E-03,0
1.15E-03,0
