cpr1 50,cpr1 100,cpr1 50,cpr1 100
0,0,-0.001173114,0.008621178
0,0,-0.001164895,0.00859759
0,0,-0.001156721,0.008574065
0,0,-0.001148594,0.008550603
0,0,-0.001140513,0.008527203
0,0,-0.001132478,0.008503867
0,0,-0.001124489,0.008480593
0,0,-0.001116546,0.008457382
0,0,-0.001108649,0.008434234
0,0,-0.001100797,0.008411148
0,0,-0.001092991,0.008388125
0,0,-0.00108523,0.008365165
0,0,-0.001077514,0.008342267
0,0,-0.001069843,0.008319431
0,0,-0.001062218,0.008296658
0,0,-0.001054637,0.008273947
0,0,-0.001047101,0.008251299
0,0,-0.00103961,0.008228713
0,0,-0.001032163,0.008206189
0,0,-0.001024761,0.008183727
0,0,-0.001017403,0.008161328
0,0,-0.001010089,0.00813899
0,0,-0.00100282,0.008116715
0,0,-0.000995594,0.008094502
0,0,-0.000988412,0.00807235
0,0,-0.000981274,0.008050261
0,0,-0.00097418,0.008028233
0,0,-0.000967129,0.008006268
0,0,-0.000960121,0.007984364
0,0,-0.000953157,0.007962522
0,0,-0.000946236,0.007940742
0,0,-0.000939358,0.007919023
0,0,-0.000932523,0.007897366
0,0,-0.00092573,0.007875771
0,0,-0.000918981,0.007854237
0,0,-0.000912274,0.007832765
0,0,-0.000905609,0.007811354
0,0,-0.000898987,0.007790004
0,0,-0.000892407,0.007768716
0,0,-0.00088587,0.00774749
0,0,-0.000879374,0.007726324
0,0,-0.00087292,0.00770522
0,0,-0.000866508,0.007684177
0,0,-0.000860138,0.007663195
0,0,-0.000853809,0.007642275
0,0,-0.000847522,0.007621415
0,0,-0.000841276,0.007600617
0,0,-0.000835072,0.007579879
0,0,-0.000828908,0.007559202
0,0,-0.000822786,0.007538587
0,0,-0.000816704,0.007518032
0,0,-0.000810663,0.007497538
0,0,-0.000804663,0.007477105
0,0,-0.000798703,0.007456732
0,0,-0.000792784,0.00743642
0,0,-0.000786906,0.007416169
0,0,-0.000781067,0.007395979
0,0,-0.000775269,0.007375849
0,0,-0.00076951,0.007355779
0,0,-0.000763792,0.00733577
0,0,-0.000758113,0.007315822
0,0,-0.000752474,0.007295934
0,0,-0.000746875,0.007276106
0,0,-0.000741315,0.007256339
0,0,-0.000735794,0.007236631
0,0,-0.000730313,0.007216985
0,0,-0.000724871,0.007197398
0,0,-0.000719467,0.007177871
0,0,-0.000714103,0.007158405
0,0,-0.000708777,0.007138998
0,0,-0.000703491,0.007119652
0,0,-0.000698242,0.007100366
0,0,-0.000693033,0.007081139
0,0,-0.000687861,0.007061972
