chz1 50,chz1 100
0.000118608,-0.001188799
0.00011822,-0.001171702
0.000117831,-0.001154638
0.000117441,-0.001137607
0.000117051,-0.001120609
0.000116661,-0.001103643
0.00011627,-0.00108671
0.000115878,-0.001069809
0.000115486,-0.001052941
0.000115094,-0.001036105
0.000114701,-0.001019302
0.000114307,-0.001002531
0.000113914,-0.000985792
0.00011352,-0.000969085
0.000113125,-0.00095241
0.00011273,-0.000935767
0.000112335,-0.000919157
0.00011194,-0.000902578
0.000111544,-0.000886031
0.000111148,-0.000869516
0.000110752,-0.000853032
0.000110356,-0.000836581
0.000109959,-0.00082016
0.000109562,-0.000803772
0.000109165,-0.000787415
0.000108768,-0.000771089
0.000108371,-0.000754795
0.000107974,-0.000738532
0.000107576,-0.000722301
0.000107179,-0.0007061
0.000106781,-0.000689931
0.000106384,-0.000673793
0.000105986,-0.000657686
0.000105589,-0.00064161
0.000105191,-0.000625565
0.000104793,-0.000609551
0.000104396,-0.000593567
0.000103998,-0.000577614
0.000103601,-0.000561693
0.000103204,-0.000545801
0.000102807,-0.00052994
0.00010241,-0.00051411
0.000102013,-0.000498311
0.000101616,-0.000482541
0.00010122,-0.000466802
0.000100824,-0.000451094
0.000100428,-0.000435415
0.000100032,-0.000419767
9.96E-05,-4.04E-04
9.92E-05,-3.89E-04
9.88E-05,-3.73E-04
9.85E-05,-3.57E-04
9.81E-05,-3.42E-04
9.77E-05,-3.27E-04
9.73E-05,-3.11E-04
9.69E-05,-2.96E-04
9.65E-05,-2.80E-04
9.61E-05,-2.65E-04
9.57E-05,-2.50E-04
9.53E-05,-2.34E-04
9.49E-05,-2.19E-04
9.45E-05,-2.04E-04
9.41E-05,-1.89E-04
9.37E-05,-1.73E-04
9.34E-05,-1.58E-04
9.30E-05,-1.43E-04
9.26E-05,-1.28E-04
9.22E-05,-1.13E-04
9.18E-05,-9.80E-05
9.14E-05,-8.30E-05
9.10E-05,-6.81E-05
9.07E-05,-5.31E-05
9.03E-05,-3.82E-05
8.99E-05,-2.33E-05
8.95E-05,-8.47E-06
8.91E-05,6.36E-06
8.87E-05,2.12E-05
8.84E-05,3.59E-05
8.80E-05,5.07E-05
8.76E-05,6.54E-05
8.72E-05,8.01E-05
8.69E-05,9.47E-05
8.65E-05,1.09E-04
8.61E-05,1.24E-04
8.57E-05,1.39E-04
8.54E-05,1.53E-04
8.50E-05,1.68E-04
