med6 50,med6 100
-0.000203524,-0.002171387
-0.000190035,-0.002159285
-0.000176585,-0.002147224
-0.000163176,-0.002135206
-0.000149807,-0.002123229
-0.000136478,-0.002111294
-0.000123189,-0.0020994
-0.00010994,-0.002087548
-9.67E-05,-2.08E-03
-8.36E-05,-2.06E-03
-7.04E-05,-2.05E-03
-5.73E-05,-2.04E-03
-4.43E-05,-2.03E-03
-3.13E-05,-2.02E-03
-1.83E-05,-2.01E-03
-5.37E-06,-1.99E-03
7.52E-06,-1.98E-03
2.04E-05,-1.97E-03
3.32E-05,-1.96E-03
4.60E-05,-1.95E-03
5.87E-05,-1.94E-03
7.14E-05,-1.93E-03
8.41E-05,-1.91E-03
9.67E-05,-1.90E-03
0.000109282,-0.001892303
0.000121828,-0.001881179
0.000134336,-0.001870095
0.000146805,-0.001859051
0.000159236,-0.001848046
0.000171629,-0.00183708
0.000183984,-0.001826153
0.000196301,-0.001815265
0.000208581,-0.001804416
0.000220822,-0.001793607
0.000233026,-0.001782835
0.000245192,-0.001772103
0.00025732,-0.001761409
0.000269411,-0.001750753
0.000281464,-0.001740136
0.000293481,-0.001729557
0.000305459,-0.001719016
0.000317401,-0.001708514
0.000329306,-0.001698049
0.000341173,-0.001687622
0.000353004,-0.001677233
0.000364797,-0.001666882
0.000376554,-0.001656568
0.000388274,-0.001646292
0.000399958,-0.001636053
0.000411605,-0.001625851
0.000423215,-0.001615687
0.000434789,-0.00160556
0.000446326,-0.001595469
0.000457828,-0.001585416
0.000469293,-0.001575399
0.000480722,-0.001565419
0.000492114,-0.001555476
0.000503471,-0.00154557
0.000514792,-0.001535699
0.000526077,-0.001525865
0.000537327,-0.001516068
0.00054854,-0.001506306
0.000559718,-0.001496581
0.000570861,-0.001486891
0.000581968,-0.001477238
0.000593039,-0.00146762
0.000604075,-0.001458037
0.000615077,-0.001448491
0.000626042,-0.00143898
0.000636973,-0.001429504
0.000647869,-0.001420064
0.00065873,-0.001410658
0.000669556,-0.001401288
0.000680347,-0.001391953
0.000691103,-0.001382653
0.000701825,-0.001373387
0.000712512,-0.001364157
0.000723165,-0.001354961
0.000733783,-0.001345799
0.000744367,-0.001336672
0.000754916,-0.00132758
0.000765432,-0.001318522
0.000775913,-0.001309497
0.00078636,-0.001300507
0.000796774,-0.001291551
0.000807153,-0.001282629
0.000817498,-0.001273741
0.00082781,-0.001264886
0.000838088,-0.001256065
0.000848332,-0.001247277
0.000858543,-0.001238523
0.00086872,-0.001229803
0.000878864,-0.001221115
0.000888975,-0.001212461
0.000899052,-0.00120384
0.000909096,-0.001195251
0.000919107,-0.001186696
0.000929085,-0.001178174
0.00093903,-0.001169684
0.000948942,-0.001161226
0.000958822,-0.001152802
0.000968668,-0.001144409
0.000978482,-0.00113605
0.000988263,-0.001127722
0.000998012,-0.001119426
0.001007728,-0.001111163
0.001017412,-0.001102931
0.001027063,-0.001094732
0.001036683,-0.001086564
0.00104627,-0.001078428
0.001055825,-0.001070324
0.001065348,-0.001062251
0.001074839,-0.001054209
0.001084298,-0.001046199
0.001093725,-0.001038221
0.001103121,-0.001030273
0.001112484,-0.001022356
0.001121817,-0.001014471
0.001131117,-0.001006616
0.001140387,-0.000998792
0.001149624,-0.000990999
0.001158831,-0.000983237
0.001168006,-0.000975505
0.00117715,-0.000967803
0.001186263,-0.000960132
0.001195345,-0.000952492
0.001204396,-0.000944881
0.001213416,-0.0009373
0.001222406,-0.00092975
0.001231364,-0.00092223
0.001240292,-0.000914739
0.001249189,-0.000907278
0.001258056,-0.000899847
0.001266892,-0.000892445
0.001275698,-0.000885073
0.001284473,-0.00087773
0.001293218,-0.000870417
0.001301933,-0.000863133
0.001310618,-0.000855878
0.001319273,-0.000848652
