R2all,d2,k2,k3
0.873423029,8.852303443,0.000145295,0.003721346
0.873421908,6.054270881,0.000694624,0.000532231
0.873419566,16.18994283,0.00035559,0.002782915
0.873418276,3.499048015,0.000131568,0.001622931
0.873410168,3.488353534,0.00042262,0.000504545
0.873404002,2.938824026,0.000717216,0.000250553
0.873403572,20.54205099,0.000149537,0.008361804
0.873386913,14.09219902,0.000646175,0.001326478
0.873380299,1.154931124,0.000176991,0.000399117
0.873372217,16.56311539,0.000198221,0.005120354
0.873369993,1.16598248,0.000571939,0.000124767
0.873358876,1.177139584,0.000486687,0.00014713
0.873357447,18.44246888,0.000138628,0.008156428
0.873354122,3.050857447,0.00017352,0.001077705
0.873324781,3.336339248,0.000436365,0.000464195
0.873318621,6.1476466,0.000246235,0.001515305
0.873294628,2.17790634,0.000197356,0.000677485
0.873290017,19.40118094,0.000815173,0.001461841
0.873267457,19.09350662,0.000165177,0.007006482
0.8732618,1.018362969,0.000151932,0.000411623
0.873250029,4.8238095,0.000210547,0.001388353
0.873229389,5.602520879,0.000171455,0.001979247
0.873219817,1.748899599,0.000109863,0.000978814
0.873214891,1.452987138,0.00039423,0.000226621
0.873212021,1.383067931,0.000594361,0.000140961
0.87319725,12.51489575,0.000618657,0.001244801
0.873192368,5.81016788,0.000209725,0.001676872
0.873175193,1.607977558,0.000636722,0.000152862
0.873175017,15.12011791,0.000916959,0.001015079
0.873154174,2.341541621,0.00016571,0.000869961
0.87315047,1.774665472,0.000647963,0.000168616
0.873136905,2.420081312,0.000735783,0.00019893
0.873136035,11.78772247,0.000558534,0.001276145
0.873109281,13.10738588,0.000420291,0.001884951
0.873091777,1.435304787,0.000632922,0.000139733
0.873090359,9.710330026,0.000426727,0.001374991
0.873075599,8.19456001,0.000104894,0.004719544
0.87307506,1.992903796,0.0006996,0.00017559
0.873045353,6.000968306,0.000359129,0.001030623
0.873043256,11.60473278,0.000318603,0.002199379
0.873036385,8.278601994,0.000310206,0.001646266
0.873031324,1.381187576,0.000410157,0.000203376
0.873021749,2.310686936,0.000247657,0.000575572
0.873018463,25.71187842,0.000693346,0.002288232
0.873009893,4.13360376,0.000312428,0.000816394
0.872980621,2.934828536,0.000145261,0.001247096
0.872964573,4.62774339,0.000142643,0.002003088
0.872924062,2.62413059,0.000500783,0.000323668
0.872909757,2.883378811,0.000115944,0.001536385
0.872893615,9.582376214,0.000189736,0.003121045
0.872801316,10.71328837,0.000326174,0.002031889
0.872795035,1.185577419,0.000398428,0.000184035
0.872782457,2.87456606,0.000832626,0.000207826
0.872778372,9.211675086,0.000347496,0.001595512
0.872729127,1.910601133,0.000582036,0.000203189
0.872585552,15.25441977,0.000241407,0.003795771
0.87257192,2.178647215,0.000349905,0.000374024
0.872567966,3.913336479,0.000720858,0.000336589
0.87253416,3.812179641,0.000602213,0.000380102
0.87253043,2.213754113,0.000140978,0.000973868
0.872528016,20.95843347,0.00055802,0.0023297
0.87241816,1.085237435,0.000494026,0.000131795
0.872323962,1.621156994,0.000522216,0.00018608
0.872301245,5.385783322,0.000562795,0.000594703
0.872279477,12.44697571,0.000415193,0.001795974
0.872263752,19.41438287,0.000601243,0.001934194
0.872251148,5.822036903,0.000183802,0.001969246
0.87221261,2.31461983,0.000128959,0.001116092
0.872189674,15.06877876,0.000102176,0.008828766
0.872144668,11.96545549,0.000389269,0.001839501
0.872117791,8.906664855,0.000168791,0.003157185
0.872070286,1.996295809,0.000111854,0.001110964
0.872015498,21.27444073,0.000159349,0.007981785
0.871940779,1.523847361,0.000168947,0.000561953
0.871913672,6.6140428,0.000170157,0.002322202
0.871907124,1.593820718,0.000928004,0.000107029
0.871864456,22.16824533,0.000934867,0.00141612
0.87181795,3.607812786,0.000644392,0.000334272
0.87180376,16.26721793,0.000449521,0.00216023
0.871775109,2.918900824,0.000204056,0.000892278
0.871760124,1.819279747,0.000337948,0.000335815
0.871759676,1.297840565,0.000287177,0.000281903
0.871745738,1.63388864,0.000140072,0.000696145
0.871732117,5.296768389,0.000166437,0.001898891
0.871703778,26.67391208,0.000515763,0.003227751
0.871643123,1.575495822,0.000132388,0.000709741
0.871627468,24.97069114,0.000987529,0.001507648
0.871610882,6.395043464,0.000465211,0.00085842
0.871579186,5.972461561,0.000255947,0.001390913
0.871547087,9.265091598,0.000198861,0.002776515
0.871495232,1.292994004,0.000354364,0.000227982
0.871403774,2.920887051,0.000753095,0.000242493
0.871271666,3.699769694,0.000652304,0.000354895
0.87122833,6.484846457,0.00013181,0.002926173
0.871210396,26.81034467,0.000169805,0.009883255
0.871187048,9.598685854,0.000231073,0.002470017
0.871121425,3.126491041,0.000373121,0.000498081
0.871077638,9.280861206,0.000528141,0.001100779
0.871019085,2.132460755,0.000474187,0.000281773
0.870929806,3.391254527,0.000108007,0.001968339
0.870903254,6.236096158,0.000343993,0.001076217
0.870889978,1.046808598,0.00035152,0.000176807
0.870835616,17.85609169,0.000149228,0.007100681
0.870835205,5.123127858,0.000131175,0.002449627
0.870825407,3.119056226,0.000336628,0.000581166
0.870806553,10.57211849,0.000169727,0.003907509
0.87069206,12.24958491,0.000524143,0.001385798
0.870690138,1.781317494,0.00029468,0.000379402
0.870649196,17.27072699,0.000308781,0.003511559
0.870606939,7.289750575,0.000879934,0.000491021
0.870593218,24.94522506,0.000759364,0.002063004
0.870513455,14.43173736,0.000488821,0.001854812
0.870470841,8.258915427,0.000283498,0.001725441
0.870405449,1.403921565,0.000248514,0.000355059
0.87038681,8.588353528,0.000594771,0.00085487
0.870253257,4.861692958,0.00011656,0.002623614
0.870242945,1.377434531,0.000545821,0.000149314
0.870176918,7.437512082,0.00037614,0.001244228
0.870095732,8.301158395,0.000364712,0.00134555
0.870062313,1.490528139,0.000163099,0.000575307
0.870027459,10.39031475,0.000875085,0.000747653
0.869992612,5.023054513,0.000387124,0.000817147
0.869954855,7.713169613,0.000168248,0.00270832
0.869803675,5.984662118,0.00061045,0.000578762
0.869783266,11.91671877,0.000403878,0.001859945
0.869770935,2.123052774,0.00038909,0.000343954
0.869751903,6.206472472,0.000156009,0.00234801
0.869742936,2.429978906,0.000891969,0.000171751
0.869550296,2.531208724,0.000667806,0.000223512
0.869525562,22.25890852,0.000839363,0.001563508
0.869522827,3.40396605,0.000202838,0.00105901
0.869406995,7.792274541,0.000935944,0.000525654
0.869376054,3.361397488,0.000596967,0.000355549
0.869366559,1.400106746,0.000114117,0.000722936
0.869357765,19.11299879,0.000442232,0.002546244
0.869276751,3.25120297,0.00076322,0.000269092
0.869253697,7.996323708,0.000163889,0.003082478
0.869221952,10.00195613,0.000149194,0.003947299
0.869221703,5.942068875,0.000206182,0.001820958
0.869151011,18.85473129,0.000432663,0.002565075
0.869114629,23.84194677,0.000237602,0.006343077
0.869102214,1.909301908,0.000566957,0.000198198
0.869010288,4.694325269,0.000250179,0.001186588
0.868853132,6.293627439,0.000104773,0.003801019
0.868790465,1.854893912,0.000968612,0.000121199
0.868789332,15.39514985,0.000778485,0.001162251
0.868679061,3.262279779,0.000107288,0.001925307
0.868624303,12.44274297,0.000384459,0.002049746
0.868508898,2.094364678,0.000250755,0.000490343
0.868505755,4.619880144,0.000240741,0.001215906
0.868454888,20.10656764,0.000450142,0.00283074
0.868302534,1.831074502,0.000277428,0.000387168
0.868296672,2.333591104,0.000285792,0.000478961
0.868229021,4.241846661,0.000132755,0.0018737
0.868200081,2.053454108,0.000392961,0.000306408
0.868129537,1.501723047,0.000738159,0.000119261
0.86810753,5.038454031,0.000235641,0.001356751
0.868087701,1.878384192,0.000281417,0.000423545
0.867851328,13.14309909,0.000254419,0.003024823
0.867695643,1.424605007,0.000358798,0.00025229
0.86766249,4.662500978,0.000105257,0.00281514
0.86742717,5.871752712,0.000720029,0.000518681
0.867389064,24.9028393,0.000170982,0.00851334
0.867373052,2.994316811,0.000314015,0.000606597
0.867284362,1.347316654,0.000247429,0.0003182
0.867204372,3.727557551,0.000132938,0.001637948
0.866983709,2.481764999,0.000102012,0.001420038
0.866954781,1.900232041,0.000444682,0.000272207
0.866865982,18.73965232,0.000272678,0.00400959
0.866835646,8.90060825,0.000450661,0.001258636
0.86678705,17.30012255,0.000707538,0.001558476
0.866655027,8.440663657,0.000209387,0.002350174
0.866641823,2.793601627,0.000182579,0.000975663
0.86661055,12.95227811,0.000782799,0.000964495
0.866478604,15.83594654,0.000773304,0.001193164
0.866437895,1.420250849,0.000342334,0.000241713
0.86636426,7.440042157,0.000253192,0.001875426
0.866323896,26.35826324,0.000239911,0.007012938
0.866296786,3.853897375,0.000150366,0.001492451
0.866226497,2.209992605,0.000879326,0.000146319
0.866079058,4.42607716,0.000510681,0.000504313
0.866075948,10.37266001,0.000941348,0.000703882
0.865827745,16.5687498,0.000320664,0.003004
0.865707831,6.775706129,0.00097174,0.000405229
0.865683235,4.582322145,0.000769219,0.000380978
0.865665896,1.405354801,0.000285989,0.000314268
0.865572025,3.664702725,0.000140621,0.00151391
0.865326331,22.96642409,0.000562277,0.002370828
0.865187989,2.462426501,0.00025064,0.000570033
0.865159214,3.186611122,0.000633213,0.000322329
0.865145057,4.828734031,0.000123666,0.002265166
0.864984426,4.888222001,0.000819125,0.000346019
0.864947083,8.786312097,0.000733078,0.000694864
0.86473903,3.095804569,0.000752056,0.000238506
0.864735917,9.826614411,0.000135566,0.004648363
0.864687799,1.84231901,0.000399715,0.000295597
0.864437174,4.308734388,0.000100334,0.002756132
0.864270895,2.713071456,0.000380671,0.000457615
0.864215778,4.511187309,0.000182663,0.001585988
0.864212862,2.525189494,0.000590813,0.000274473
0.864184978,4.27079974,0.000461371,0.000535427
0.864134573,29.38899068,0.000817805,0.002078261
0.864103105,1.373691684,0.000346378,0.000229351
0.863910869,1.675533635,0.000104244,0.001032999
0.863840814,5.302175753,0.000420485,0.000728618
0.863488114,3.275621777,0.000538952,0.000350833
0.863459169,23.23355102,0.000328662,0.004548833
0.863332938,2.977053521,0.000194245,0.000986507
0.863312403,3.543359775,0.000191801,0.00106586
0.863274647,15.56362323,0.000681632,0.001469941
0.863251192,2.359930759,0.000161566,0.000940373
0.862937317,21.02268716,0.000257306,0.004708689
0.86290896,4.495869934,0.00055892,0.000463554
0.862716582,1.869461195,0.000273369,0.000440859
0.862661422,5.137086655,0.000113123,0.00261517
0.862653246,2.269406876,0.000154365,0.000846642
0.86260917,13.57008981,0.00010709,0.008171466
0.862506784,14.85505101,0.000285858,0.003351969
0.862486483,14.40231628,0.000413095,0.002006781
0.862474621,1.497133185,0.000921192,0.000104833
0.862364675,1.98681269,0.000159166,0.00071829
