btt 50,btt 100
-0.000234514,0.000281915
-0.000229335,0.00028058
-0.000224166,0.000279247
-0.000219006,0.000277917
-0.000213856,0.000276591
-0.000208716,0.000275267
-0.000203585,0.000273946
-0.000198463,0.000272629
-0.000193351,0.000271314
-0.000188248,0.000270003
-0.000183155,0.000268694
-0.000178071,0.000267389
-0.000172997,0.000266086
-0.000167932,0.000264787
-0.000162876,0.000263491
-0.00015783,0.000262198
-0.000152793,0.000260908
-0.000147765,0.000259621
-0.000142746,0.000258338
-0.000137737,0.000257058
-0.000132736,0.00025578
-0.000127745,0.000254506
-0.000122763,0.000253236
-0.00011779,0.000251968
-0.000112826,0.000250704
-0.000107872,0.000249443
-0.000102926,0.000248185
-9.80E-05,0.00024693
-9.31E-05,0.000245679
-8.81E-05,0.000244431
-8.32E-05,0.000243187
-7.83E-05,0.000241945
-7.34E-05,0.000240707
-6.86E-05,0.000239473
-6.37E-05,0.000238241
-5.88E-05,0.000237014
-5.40E-05,0.000235789
-4.91E-05,0.000234568
-4.43E-05,0.00023335
-3.94E-05,0.000232136
-3.46E-05,0.000230925
-2.98E-05,0.000229718
-2.50E-05,0.000228514
-2.02E-05,0.000227313
-1.54E-05,0.000226116
-1.06E-05,0.000224923
-5.86E-06,0.000223733
-1.10E-06,0.000222547
3.65E-06,0.000221364
8.40E-06,0.000220184
1.31E-05,0.000219008
1.79E-05,0.000217836
2.26E-05,0.000216668
2.73E-05,0.000215502
3.20E-05,0.000214341
3.67E-05,0.000213183
4.14E-05,0.000212029
4.61E-05,0.000210878
5.07E-05,0.000209731
5.54E-05,0.000208588
6.00E-05,0.000207449
6.47E-05,0.000206313
6.93E-05,0.00020518
7.40E-05,0.000204052
7.86E-05,0.000202927
8.32E-05,0.000201806
8.78E-05,0.000200689
9.24E-05,0.000199575
9.70E-05,0.000198465
0.000101568,0.000197359
0.000106142,0.000196257
0.000110707,0.000195159
0.000115265,0.000194064
0.000119815,0.000192974
0.000124358,0.000191887
0.000128892,0.000190804
0.000133419,0.000189724
0.000137938,0.000188649
0.000142449,0.000187578
0.000146952,0.00018651
0.000151448,0.000185446
0.000155936,0.000184387
